Type,Year,Round,Player,Team,Opponent,Position,Travel Fatigue,Weather,DvP,Line,Avg vs Line,Line Consistency,Bet Priority,Bet Flag,Actual,W/L
Disposal,2025,21,Griffin Logue,NTH,STK,KeyD,✅ Neutral,✅ Neutral,🔹 Slight Easy,11.5,+7.2%,63.60%,,,12,-1
Disposal,2025,21,Jack Darling,NTH,STK,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,10,+2.4%,64.70%,,,14,-1
Disposal,2025,21,Riley Hardeman,NTH,STK,GenD,✅ Neutral,✅ Neutral,🔹 Slight Easy,15,+12.9%,57.10%,,,14,1
Disposal,2025,21,Anthony Caminiti,STK,NTH,KeyD,✅ Neutral,✅ Neutral,🔹 Slight Easy,12.5,-4.70%,44.40%,,,8,1
Disposal,2025,21,Cooper Sharman,STK,NTH,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,11,-2.80%,37.50%,,,6,1
Disposal,2025,21,Hugo Garcia,STK,NTH,InsM,✅ Neutral,✅ Neutral,🔹 Slight Easy,16.5,+7.8%,53.80%,,,15,1
Disposal,2025,21,Jack Higgins,STK,NTH,SmF,✅ Neutral,✅ Neutral,🔹 Slight Easy,10,+3.4%,50.00%,,,10,0
Disposal,2025,21,Jack Macrae,STK,NTH,InsM,✅ Neutral,✅ Neutral,🔹 Slight Easy,25,-4.80%,37.50%,,,22,1
Disposal,2025,21,Jack Sinclair,STK,NTH,GenD,✅ Neutral,✅ Neutral,🔹 Slight Easy,27,+2.1%,66.70%,,,26,1
Disposal,2025,21,Jack Steele,STK,NTH,InsM,✅ Neutral,✅ Neutral,🔹 Slight Easy,22.5,+1.4%,68.80%,,,8,1
Disposal,2025,21,Mitch Owens,STK,NTH,MedF,✅ Neutral,✅ Neutral,🔹 Slight Easy,13.5,+1.1%,58.80%,,,8,1
Disposal,2025,21,Braeden Campbell,SYD,ESS,InsM,✅ Neutral,🔴 Strong Unders Edge (Rain),🔹 Slight Easy,12,-4.40%,33.30%,,,17,-1
Disposal,2025,21,Callum Mills,SYD,ESS,GenD,✅ Neutral,🔴 Strong Unders Edge (Rain),🔹 Slight Easy,25.5,+8.8%,57.10%,,,23,1
Disposal,2025,21,Dane Rampe,SYD,ESS,GenD,✅ Neutral,🔴 Strong Unders Edge (Rain),🔹 Slight Easy,12,-3.50%,43.80%,,,25,-1
Disposal,2025,21,Harry Cunningham,SYD,ESS,GenD,✅ Neutral,🔴 Strong Unders Edge (Rain),🔹 Slight Easy,12.5,-8.50%,50.00%,,,14,-1
Disposal,2025,21,Jake Lloyd,SYD,ESS,FwdMid,✅ Neutral,🔴 Strong Unders Edge (Rain),🔹 Slight Easy,19.5,-1.30%,47.10%,,,17,1
Disposal,2025,21,James Jordon,SYD,ESS,InsM,✅ Neutral,🔴 Strong Unders Edge (Rain),🔹 Slight Easy,12.5,-14.10%,38.90%,,,12,1
Disposal,2025,21,James Rowbottom,SYD,ESS,InsM,✅ Neutral,🔴 Strong Unders Edge (Rain),🔹 Slight Easy,16,-5.90%,44.40%,,,12,1
Disposal,2025,21,Justin McInerney,SYD,ESS,InsM,✅ Neutral,🔴 Strong Unders Edge (Rain),🔹 Slight Easy,20,-8.50%,21.40%,,,27,-1
Disposal,2025,21,Lewis Melican,SYD,ESS,KeyD,✅ Neutral,🔴 Strong Unders Edge (Rain),🔹 Slight Easy,10.5,-1.60%,33.30%,,,10,1
Disposal,2025,21,Nick Blakey,SYD,ESS,GenD,✅ Neutral,🔴 Strong Unders Edge (Rain),🔹 Slight Easy,23.5,+11.3%,66.70%,,,28,-1
Disposal,2025,21,Sam Wicks,SYD,ESS,GenD,✅ Neutral,🔴 Strong Unders Edge (Rain),🔹 Slight Easy,14,-2.60%,43.80%,,,9,1
Disposal,2025,21,Tom McCartin,SYD,ESS,KeyD,✅ Neutral,🔴 Strong Unders Edge (Rain),🔹 Slight Easy,12,-4.50%,43.80%,,,11,1
Disposal,2025,21,Bailey J. Williams,WCE,MEL,Ruck,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,11,+18.9%,66.70%,,,6,1
Disposal,2025,21,Brady Hough,WCE,MEL,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,16.5,+5.8%,64.70%,,,11,1
Disposal,2025,21,Elijah Hewett,WCE,MEL,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,17,+6.7%,53.30%,,,23,-1
Disposal,2025,21,Jamie Cripps,WCE,MEL,MedF,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,11.5,+4.0%,50.00%,,,8,1
Disposal,2025,21,Liam Baker,WCE,MEL,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,22.5,+0.7%,50.00%,,,18,1
Disposal,2025,21,Liam Duggan,WCE,MEL,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,21.5,+2.7%,66.70%,,,21,1
Disposal,2025,21,Liam Ryan,WCE,MEL,MedF,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,11.5,-0.30%,53.30%,,,6,1
Disposal,2025,21,Reuben Ginbey,WCE,MEL,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,13.5,+2.1%,55.60%,,,15,-1
Disposal,2025,21,Ryan Maric,WCE,MEL,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,20,-2.20%,33.30%,,,29,-1
Disposal,2025,21,Tim Kelly,WCE,MEL,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,20.5,+31.4%,86.70%,,,26,-1
Disposal,2025,21,Tom McCarthy,WCE,MEL,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,22,-6.80%,60.00%,,,26,-1
Disposal,2025,21,Tyler Brockman,WCE,MEL,SmF,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,11,-11.80%,40.00%,,,8,1
Mark,2025,21,Harris Andrews,BRL,COL,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,7,-6.70%,33.30%,,,6,1
Mark,2025,21,Tom Stewart,GEE,PTA,GenD,✅ Neutral,✅ Neutral,🔹 Slight Easy,7,-9.00%,38.50%,,,7,0
Mark,2025,21,Daniel Turner,MEL,WCE,GenD,✅ Neutral,✅ Neutral,🔹 Slight Easy,6.5,+5.8%,57.10%,,,6,1
Mark,2025,21,Jake Bowey,MEL,WCE,GenD,✅ Neutral,✅ Neutral,🔹 Slight Easy,5.5,+5.3%,61.10%,,,7,-1
Mark,2025,21,Judd McVee,MEL,WCE,GenD,✅ Neutral,✅ Neutral,🔹 Slight Easy,5.5,+13.8%,58.30%,,,3,1
Mark,2025,21,Caleb Daniel,NTH,STK,GenD,✅ Neutral,✅ Neutral,🔹 Slight Easy,4,+1.4%,44.40%,,,8,-1
Mark,2025,21,Harry Sheezel,NTH,STK,InsM,✅ Neutral,✅ Neutral,🔹 Slight Easy,5.5,-1.00%,44.40%,,,5,1
Mark,2025,21,Paul Curtis,NTH,STK,MedF,✅ Neutral,✅ Neutral,🔹 Slight Easy,3.5,-9.50%,53.30%,,,4,-1
Mark,2025,21,Toby Pink,NTH,STK,KeyD,✅ Neutral,✅ Neutral,🔹 Slight Easy,5,+0.0%,50.00%,,,5,0
Mark,2025,21,Mitch Georgiades,PTA,GEE,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,5,-9.10%,33.30%,,,3,1
Mark,2025,21,Anthony Caminiti,STK,NTH,KeyD,✅ Neutral,✅ Neutral,🔹 Slight Easy,6,-4.40%,38.90%,,,2,1
Mark,2025,21,Cooper Sharman,STK,NTH,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,5,-4.80%,31.20%,,,2,1
Mark,2025,21,Mason Wood,STK,NTH,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,5.5,-5.40%,43.80%,,,7,-1
Mark,2025,21,Harry Edwards,WCE,MEL,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,5,+17.2%,53.30%,,,4,1
Mark,2025,21,Liam Ryan,WCE,MEL,MedF,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,3,+0.0%,33.30%,,,4,-1
Tackle,2025,21,Darcy Jones,GWS,WBD,InsM,✅ Neutral,✅ Neutral,🔹 Slight Easy,3.5,-5.60%,47.10%,,,3,1
Tackle,2025,21,Finn Callaghan,GWS,WBD,InsM,✅ Neutral,✅ Neutral,🔹 Slight Easy,4,-3.20%,53.30%,,,2,1
Tackle,2025,21,Kieren Briggs,GWS,WBD,Ruck,✅ Neutral,✅ Neutral,🔹 Slight Easy,3.5,+19.5%,64.30%,,,2,1
Tackle,2025,21,Ryan Angwin,GWS,WBD,Wing,✅ Neutral,✅ Neutral,🔹 Slight Easy,4,+0.0%,25.00%,,,3,1
Tackle,2025,21,Stephen Coniglio,GWS,WBD,FwdMid,✅ Neutral,✅ Neutral,🔹 Slight Easy,3.5,+55.6%,100.00%,,,3,1
Tackle,2025,21,Toby Bedford,GWS,WBD,SmF,✅ Neutral,✅ Neutral,🔹 Slight Easy,5,-12.40%,35.30%,,,2,1
Tackle,2025,21,Tom Green,GWS,WBD,InsM,✅ Neutral,✅ Neutral,🔹 Slight Easy,4,+13.3%,47.10%,,,3,1
Tackle,2025,21,Jarrod Berry,BRL,COL,Wing,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,3,-8.90%,29.40%,,,3,0
Tackle,2025,21,Oisin Mullin,GEE,PTA,GenD,✅ Neutral,✅ Neutral,🔹 Slight Easy,3,-8.90%,41.20%,,,0,1
Tackle,2025,21,Tyson Stengle,GEE,PTA,SmF,✅ Neutral,✅ Neutral,🔹 Slight Easy,3,-12.70%,31.20%,,,0,1
Tackle,2025,21,Jack Viney,MEL,WCE,InsM,✅ Neutral,✅ Neutral,🔹 Slight Easy,6.5,+7.0%,61.50%,,,8,-1
Tackle,2025,21,Kysaiah Pickett,MEL,WCE,FwdMid,✅ Neutral,✅ Neutral,🔹 Slight Easy,3.5,-0.90%,66.70%,,,5,-1
Tackle,2025,21,Willem Drew,PTA,GEE,InsM,✅ Neutral,✅ Neutral,🔹 Slight Easy,6.5,-3.30%,44.40%,,,10,-1
Tackle,2025,21,Zak Butters,PTA,GEE,InsM,✅ Neutral,✅ Neutral,🔹 Slight Easy,4.5,-12.30%,46.70%,,,2,1
Tackle,2025,21,Hugo Garcia,STK,NTH,InsM,✅ Neutral,✅ Neutral,🔹 Slight Easy,4.5,-16.40%,46.20%,,,1,1
Tackle,2025,21,Jack Macrae,STK,NTH,InsM,✅ Neutral,✅ Neutral,🔹 Slight Easy,5.5,-5.40%,56.20%,,,4,1
Tackle,2025,21,Jack Steele,STK,NTH,InsM,✅ Neutral,✅ Neutral,🔹 Slight Easy,8.5,-6.80%,43.80%,,,2,1
Tackle,2025,21,Marcus Windhager,STK,NTH,Wing,✅ Neutral,✅ Neutral,🔹 Slight Easy,3.5,+3.3%,38.90%,,,1,1
Tackle,2025,21,Max Hall,STK,NTH,InsM,✅ Neutral,✅ Neutral,🔹 Slight Easy,3.5,+26.0%,66.70%,,,1,1
Tackle,2025,21,Jamie Cripps,WCE,MEL,MedF,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,3,+4.3%,43.80%,,,2,1
Disposal,2025,21,Cooper Lord,CAR,FRE,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,15.5,+17.6%,58.80%,,,22,-1
Disposal,2025,21,Oliver Hollands,CAR,FRE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,18,-1.80%,38.90%,,,19,-1
Disposal,2025,21,Patrick Cripps,CAR,FRE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,24,+1.6%,38.90%,,,36,-1
Disposal,2025,21,Darcy Cameron,COL,BRL,Ruck,✅ Neutral,✅ Neutral,🟠 Moderate Unders,18,-0.30%,38.90%,,,12,1
Disposal,2025,21,Matt Guelfi,ESS,SYD,SmF,✅ Neutral,🔴 Strong Unders Edge (Rain),🟠 Moderate Unders,10.5,+3.3%,66.70%,,,3,1
Disposal,2025,21,Sam Durham,ESS,SYD,FwdMid,✅ Neutral,🔴 Strong Unders Edge (Rain),🟠 Moderate Unders,21.5,-2.00%,40.00%,,,22,-1
Disposal,2025,21,Zach Merrett,ESS,SYD,InsM,✅ Neutral,🔴 Strong Unders Edge (Rain),🟠 Moderate Unders,25.5,-10.20%,29.40%,,,19,1
Disposal,2025,21,Brennan Cox,FRE,CAR,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,10.5,-5.50%,44.40%,,,9,1
Disposal,2025,21,Karl Worner,FRE,CAR,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,14,+1.7%,47.10%,,,15,-1
Disposal,2025,21,Luke Jackson,FRE,CAR,Ruck,✅ Neutral,✅ Neutral,🟠 Moderate Unders,16.5,-5.20%,53.30%,,,27,-1
Disposal,2025,21,Connor O'Sullivan,GEE,PTA,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,13,-3.10%,52.90%,,,11,1
Disposal,2025,21,Jack Henry,GEE,PTA,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,13.5,+4.5%,53.80%,,,11,1
Disposal,2025,21,Lawson Humphries,GEE,PTA,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,15.5,-10.40%,47.10%,,,24,-1
Disposal,2025,21,Patrick Dangerfield,GEE,PTA,FwdMid,✅ Neutral,✅ Neutral,🟠 Moderate Unders,14.5,+2.7%,50.00%,,,19,-1
Disposal,2025,21,Zach Guthrie,GEE,PTA,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,16.5,-8.30%,38.90%,,,18,-1
Disposal,2025,21,Caleb Daniel,NTH,STK,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,24.5,-6.00%,38.90%,,,32,-1
Disposal,2025,21,Cameron Zurhaar,NTH,STK,MedF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,10,-10.00%,38.90%,,,10,0
Disposal,2025,21,Harry Sheezel,NTH,STK,InsM,✅ Neutral,✅ Neutral,🟠 Moderate Unders,26.5,-4.00%,27.80%,,,33,-1
Disposal,2025,21,Luke Davies-Uniacke,NTH,STK,InsM,✅ Neutral,✅ Neutral,🟠 Moderate Unders,25.5,+5.5%,47.10%,,,21,1
Disposal,2025,21,Luke Parker,NTH,STK,FwdMid,✅ Neutral,✅ Neutral,🟠 Moderate Unders,23,+3.2%,52.90%,,,17,1
Disposal,2025,21,Paul Curtis,NTH,STK,MedF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,10,-15.70%,26.70%,,,10,0
Disposal,2025,21,Toby Pink,NTH,STK,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,10.5,+0.8%,50.00%,,,15,-1
Disposal,2025,21,Tom Powell,NTH,STK,InsM,✅ Neutral,✅ Neutral,🟠 Moderate Unders,24,+0.0%,44.40%,,,24,0
Disposal,2025,21,Ben Miller,RIC,GCS,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,11.5,-4.20%,44.40%,,,13,-1
Disposal,2025,21,Kamdyn McIntosh,RIC,GCS,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,15.5,+8.1%,44.40%,,,14,1
Disposal,2025,21,Luke Trainor,RIC,GCS,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,14.5,+4.4%,38.90%,,,14,1
Disposal,2025,21,Sam Banks,RIC,GCS,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,20.5,-2.70%,41.20%,,,26,-1
Disposal,2025,21,Callum Wilkie,STK,NTH,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,18,-5.80%,38.90%,,,17,1
Disposal,2025,21,Rowan Marshall,STK,NTH,Ruck,✅ Neutral,✅ Neutral,🟠 Moderate Unders,17.5,-4.00%,50.00%,,,24,-1
Mark,2025,21,Bailey Dale,WBD,GWS,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,4,-13.30%,33.30%,,,5,-1
Mark,2025,21,Bailey Williams,WBD,GWS,Wing,✅ Neutral,✅ Neutral,🟠 Moderate Unders,5.5,-18.90%,44.40%,,,3,1
Mark,2025,21,James O'Donnell,WBD,GWS,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,4,-4.20%,41.20%,,,2,1
Mark,2025,21,Jason Johannisen,WBD,GWS,Wing,✅ Neutral,✅ Neutral,🟠 Moderate Unders,4,-4.30%,36.40%,,,8,-1
Mark,2025,21,Lachlan Bramble,WBD,GWS,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,3.5,-12.50%,50.00%,,,6,-1
Mark,2025,21,Rory Lobb,WBD,GWS,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,5.5,-1.00%,50.00%,,,8,-1
Mark,2025,21,Logan Morris,BRL,COL,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,4.5,+4.8%,58.80%,,,6,-1
Mark,2025,21,Brayden Maynard,COL,BRL,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,4,-8.80%,30.80%,,,3,1
Mark,2025,21,Isaac Quaynor,COL,BRL,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,4.5,-2.40%,50.00%,,,5,-1
Mark,2025,21,Jamie Elliott,COL,BRL,SmFF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,5,+2.3%,38.90%,,,5,0
Mark,2025,21,Josh Daicos,COL,BRL,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,5,-2.20%,50.00%,,,4,1
Mark,2025,21,Tim Membrey,COL,BRL,KeyF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,4.5,+0.0%,43.80%,,,1,1
Mark,2025,21,Connor O'Sullivan,GEE,PTA,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,5.5,-10.10%,47.10%,,,7,-1
Mark,2025,21,Jack Henry,GEE,PTA,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,6.5,-5.10%,53.80%,,,7,-1
Mark,2025,21,Zach Guthrie,GEE,PTA,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,6,-7.70%,50.00%,,,9,-1
Mark,2025,21,Callum Wilkie,STK,NTH,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,7,-17.60%,38.90%,,,7,0
Mark,2025,21,Nasiah Wanganeen-Milera,STK,NTH,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,5.5,-2.90%,38.90%,,,3,1
Tackle,2025,21,Cam Rayner,BRL,COL,MedF,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,2.5,+7.1%,61.10%,,,9,-1
Tackle,2025,21,Josh Dunkley,BRL,COL,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,8,+7.5%,55.60%,,,6,1
Tackle,2025,21,Lachie Neale,BRL,COL,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,4,+7.5%,44.40%,,,3,1
Tackle,2025,21,Lachie Schultz,COL,BRL,SmF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,5.5,-6.60%,22.20%,,,7,-1
Disposal,2025,21,Connor Idun,GWS,WBD,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,17.5,-8.20%,33.30%,,,23,-1
Disposal,2025,21,Finn Callaghan,GWS,WBD,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,27.5,-4.50%,40.00%,,,23,1
Disposal,2025,21,Harry Himmelberg,GWS,WBD,KeyD,✅ Neutral,✅ Neutral,🟡 Slight Unders,18.5,+0.0%,50.00%,,,18,1
Disposal,2025,21,Lachie Ash,GWS,WBD,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,28,-3.30%,27.80%,,,36,-1
Disposal,2025,21,Lachie Whitfield,GWS,WBD,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,28,-1.20%,35.30%,,,29,-1
Disposal,2025,21,Tom Green,GWS,WBD,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,28.5,-7.20%,35.30%,,,25,1
Disposal,2025,21,Xavier O'Halloran,GWS,WBD,FwdMid,✅ Neutral,✅ Neutral,🟡 Slight Unders,17,+16.5%,64.70%,,,13,1
Disposal,2025,21,Aaron Naughton,WBD,GWS,KeyF,✅ Neutral,✅ Neutral,🟡 Slight Unders,11,-2.50%,50.00%,,,20,-1
Disposal,2025,21,Bailey Dale,WBD,GWS,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,24,-12.40%,38.90%,,,22,1
Disposal,2025,21,Ed Richards,WBD,GWS,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,25.5,-2.50%,33.30%,,,21,1
Disposal,2025,21,James O'Donnell,WBD,GWS,KeyD,✅ Neutral,✅ Neutral,🟡 Slight Unders,9.5,-7.20%,47.10%,,,9,1
Disposal,2025,21,Jason Johannisen,WBD,GWS,Wing,✅ Neutral,✅ Neutral,🟡 Slight Unders,17,+2.7%,45.50%,,,14,1
Disposal,2025,21,Lachlan Bramble,WBD,GWS,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,19.5,+11.4%,61.10%,,,15,1
Disposal,2025,21,Luke Cleary,WBD,GWS,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,13,+2.1%,54.50%,,,13,0
Disposal,2025,21,Marcus Bontempelli,WBD,GWS,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,25.5,+1.1%,69.20%,,,27,-1
Disposal,2025,21,Rory Lobb,WBD,GWS,KeyD,✅ Neutral,✅ Neutral,🟡 Slight Unders,11.5,-10.40%,38.90%,,,13,-1
Disposal,2025,21,Sam Darcy,WBD,GWS,KeyF,✅ Neutral,✅ Neutral,🟡 Slight Unders,13.5,-5.30%,41.70%,,,13,1
Disposal,2025,21,Tom Liberatore,WBD,GWS,FwdMid,✅ Neutral,✅ Neutral,🟡 Slight Unders,24.5,-9.60%,27.80%,,,26,-1
Disposal,2025,21,Brandon Starcevich,BRL,COL,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,11,+8.2%,66.70%,,,9,1
Disposal,2025,21,Callum Ah Chee,BRL,COL,MedF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,13.5,+6.7%,64.70%,,,5,1
Disposal,2025,21,Cam Rayner,BRL,COL,MedF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,17.5,+11.3%,61.10%,,,15,1
Disposal,2025,21,Charlie Cameron,BRL,COL,SmF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,9,-3.40%,43.80%,,,13,-1
Disposal,2025,21,Darcy Gardiner,BRL,COL,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,11.5,+24.7%,66.70%,,,7,1
Disposal,2025,21,Dayne Zorko,BRL,COL,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,24,-10.20%,38.90%,,,19,1
Disposal,2025,21,Harris Andrews,BRL,COL,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,12.5,-4.70%,38.90%,,,9,1
Disposal,2025,21,Jaspa Fletcher,BRL,COL,GenDD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,20.5,-0.30%,38.90%,,,22,-1
Disposal,2025,21,Ryan Lester,BRL,COL,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,12,-6.50%,33.30%,,,0,1
Disposal,2025,21,Ashton Moir,CAR,FRE,MedF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,9,+16.1%,25.00%,,,11,-1
Disposal,2025,21,Jesse Motlop,CAR,FRE,SmF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,10.5,+1.6%,66.70%,,,7,1
Disposal,2025,21,Lachie Fogarty,CAR,FRE,SmF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,10.5,-9.70%,31.20%,,,17,-1
Disposal,2025,21,Zac Williams,CAR,FRE,MedF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,17,+25.3%,71.40%,,,18,-1
Disposal,2025,21,Jamie Elliott,COL,BRL,SmFF,✅ Neutral,✅ Neutral,🟡 Slight Unders,11.5,-6.30%,38.90%,,,8,1
Disposal,2025,21,Josh Daicos,COL,BRL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,29.5,+5.4%,50.00%,,,29,1
Disposal,2025,21,Lachie Schultz,COL,BRL,SmF,✅ Neutral,✅ Neutral,🟡 Slight Unders,12.5,-6.20%,44.40%,,,17,-1
Disposal,2025,21,Ned Long,COL,BRL,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,19,+4.0%,44.40%,,,9,1
Disposal,2025,21,Nick Daicos,COL,BRL,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,32,+5.1%,55.60%,,,29,1
Disposal,2025,21,Patrick Lipinski,COL,BRL,Wing,✅ Neutral,✅ Neutral,🟡 Slight Unders,17,-5.20%,31.20%,,,17,0
Disposal,2025,21,Scott Pendlebury,COL,BRL,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,23,-0.30%,56.20%,,,22,1
Disposal,2025,21,Steele Sidebottom,COL,BRL,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,20.5,-7.60%,37.50%,,,21,-1
Disposal,2025,21,Tim Membrey,COL,BRL,KeyF,✅ Neutral,✅ Neutral,🟡 Slight Unders,10,-3.00%,37.50%,,,5,1
Disposal,2025,21,Archie Perkins,ESS,SYD,FwdMid,✅ Neutral,🔴 Strong Unders Edge (Rain),🟡 Slight Unders,14,-3.70%,33.30%,,,10,1
Disposal,2025,21,Isaac Kako,ESS,SYD,SmF,✅ Neutral,🔴 Strong Unders Edge (Rain),🟡 Slight Unders,9.5,-12.20%,35.30%,,,7,1
Disposal,2025,21,Jayden Laverde,ESS,SYD,GenD,✅ Neutral,🔴 Strong Unders Edge (Rain),🟡 Slight Unders,15,-2.90%,33.30%,,,22,-1
Disposal,2025,21,Lachlan Blakiston,ESS,SYD,Ruck,✅ Neutral,🔴 Strong Unders Edge (Rain),🟡 Slight Unders,10.5,+2.9%,40.00%,,,11,-1
Disposal,2025,21,Peter Wright,ESS,SYD,KeyF,✅ Neutral,🔴 Strong Unders Edge (Rain),🟡 Slight Unders,10.5,-14.20%,30.80%,,,14,-1
Disposal,2025,21,Todd Goldstein,ESS,SYD,Ruck,✅ Neutral,🔴 Strong Unders Edge (Rain),🟡 Slight Unders,10.5,-16.00%,40.00%,,,7,1
Disposal,2025,21,Andrew Brayshaw,FRE,CAR,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,29,+5.2%,38.90%,,,23,1
Disposal,2025,21,Caleb Serong,FRE,CAR,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,29,+3.4%,44.40%,,,19,1
Disposal,2025,21,Heath Chapman,FRE,CAR,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,13,-4.30%,47.10%,,,8,1
Disposal,2025,21,Jordan Clark,FRE,CAR,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,25,+2.0%,55.60%,,,30,-1
Disposal,2025,21,Josh Treacy,FRE,CAR,KeyF,✅ Neutral,✅ Neutral,🟡 Slight Unders,11,-2.50%,27.80%,,,13,-1
