Type,Round,Player,Team,Opponent,Position,Travel Fatigue,Weather,DvP,Bet Priority,Bet Tier,Bet Flag,Avg vs Line,Line Consistency,Bet Confidence,Line,Actual,W/L,,🔷 Moderate Easy,🔹 Slight Easy,🔵 Strong Easy
Disposal,13,Kai Lohmann,BRL,ADE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,,,🟡 STRONG BET - Long Travel,-31%,71%,,10.5,11,-1,,,,
Mark,12,Nick Blakey,SYD,ADE,KeyD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🟡 CONSIDER,2%,73%,,5,0,1,,,,
Mark,16,Jack Gunston,HAW,NTH,KeyF,✅ Neutral,✅ Neutral,🔷 Moderate Easy,,,🥇 TIER 1 #1 - KeyF + Mark (90.9% WR) (Need: Lines >5.0),4%,45%,,5.5,4,1,,,,
Disposal,13,Ben Long,GCS,GEE,GenF,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),✅ Neutral,,,🟢 AUTO-BET - GenF Medium Rain,8%,50%,,11,8,1,,,,
Disposal,13,Cameron Zurhaar,NTH,WCE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,,,🟡 STRONG BET - Long Travel,-7%,73%,,12.5,10,1,,,,
Tackle,11,James Rowbottom,SYD,MEL,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,6%,56%,#REF!,6.5,9,-1,,,,
Tackle,11,Adam Cerra,CAR,GWS,InsM,✅ Neutral,🔵 Avoid (Rain),🔴 Strong Unders,,,🔵 Avoid (Rain),0%,50%,#REF!,4.5,6,-1,,,,
Mark,12,Tom Brown,RIC,GWS,GenD,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,🚫 SKIP - Position,9%,56%,,4.5,2,1,,,,
Mark,12,Matt Roberts,SYD,ADE,Des,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - Position,2%,64%,,6,8,-1,,,,
Mark,12,Archie Roberts,ESS,BRL,Des,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - Position,-8%,80%,,6,8,-1,,,,
Mark,12,Sam Banks,RIC,GWS,Des,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,🚫 SKIP - Hybrid Position,-4%,55%,,5,7,-1,,,,
Mark,16,Sam Darcy,WBD,SYD,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,,,🥇 TIER 1 #1 - KeyF + Mark (90.9% WR) (Need: Lines >5.0),-3%,25%,,7.5,2,1,,,,
Disposal,13,Paul Curtis,NTH,WCE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,,,🟡 STRONG BET - Long Travel,8%,50%,,13,8,1,,,,
Disposal,13,Colby McKercher,NTH,WCE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,,,🟡 STRONG BET - Long Travel,-5%,64%,,17,35,-1,,,,
Disposal,14,Paul Curtis,NTH,FRE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,🟢 AUTO-BET - GenF Disposal Moderate Travel (Priority #5),13%,44%,,12,12,0,,,,
Mark,12,Jayden Laverde,ESS,BRL,KeyD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🟡 CONSIDER,-9%,50%,,5.5,7,-1,,,,
Disposal,14,Cameron Zurhaar,NTH,FRE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,🟢 AUTO-BET - GenF Disposal Moderate Travel (Priority #5),0%,67%,,11.5,8,1,,,,
Disposal,14,Jesse Motlop,CAR,WCE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,,,🟢 AUTO-BET - GenF Disposal Moderate Travel (Priority #5),9%,50%,,9.5,10,1,,,,
Disposal,14,Lachie Fogarty,CAR,WCE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,,,🟢 AUTO-BET - GenF Disposal Moderate Travel (Priority #5),0%,60%,,11,17,-1,,,,
Disposal,15,Kai Lohmann,BRL,GEE,GenF,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,,,🤔 CONSIDER #6 - Long Travel + Disposal (Need: ≤-10% Avg vs Line),-28%,67%,,10.5,13,-1,,,,
Mark,14,Xavier Duursma,ESS,GEE,Wing,✅ Neutral,✅ Neutral,✅ Neutral,,,🟢 AUTO-BET - Wing Mark (Priority #4),5%,75%,,5,6,-1,,,,
Mark,12,Gryan Miers,GEE,WCE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,,,🚫 SKIP - Hybrid Position,9%,44%,,6,13,1,,,,
Mark,11,Oscar Allen,WCE,ADE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,,,,-9%,75%,#REF!,4,4,0,,,,
Mark,11,Nick Larkey,NTH,COL,KeyF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,3%,50%,#REF!,4,4,0,,,,
Mark,14,Jase Burgoyne,PTA,MEL,Wing,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,,,🟢 AUTO-BET - Wing Mark (Priority #4),11%,58%,,4.5,9,-1,,,,
Disposal,16,Tyler Brockman,WCE,COL,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,🥈 TIER 2 #4 - Long Travel + Disposal (77.8% WR) (Need: <-10% Avg vs Line),-13%,55%,,15,10,1,,,,
Disposal,17,Lachlan McNeil,WBD,NTH,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,12,New,#12: GenF + Disposal + Avg < -5%,-13%,57%,,12.5,,,,,,
Disposal,10,Tom Green,GWS,FRE,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,,9%,25%,#REF!,30.5,25,1,,,,
Mark,12,Jeremy Cameron,GEE,WCE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,,,🟡 CONSIDER,-18%,64%,,7,7,0,,,,
Mark,12,Josh Battle,HAW,COL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - Position,-5%,80%,,6,8,-1,,,,
Disposal,10,Finn Callaghan,GWS,FRE,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,,2%,50%,#REF!,26.5,24,1,,,,
Mark,12,Nathan Broad,RIC,GWS,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,🟢 STRONG BET,14%,46%,,5.5,7,-1,,,,
Disposal,10,Caleb Serong,FRE,GWS,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,,,,6%,33%,#REF!,26,36,-1,,,,
Disposal,10,Tom Atkins,GEE,PTA,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,3%,44%,#REF!,18,23,-1,,,,
Disposal,10,Chad Warner,SYD,CAR,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,,-4%,44%,#REF!,22.5,30,-1,,,,
Disposal,10,Isaac Heeney,SYD,CAR,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,,-4%,78%,#REF!,22.5,38,-1,,,,
Disposal,10,Mattaes Phillipou,STK,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔵 Strong Easy,,,,20%,20%,#REF!,17,14,1,,,,
Mark,12,Mark Keane,ADE,SYD,KeyD,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,🟢 STRONG BET,-11%,46%,,4.5,10,-1,,,,
Mark,12,Bailey Smith,GEE,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,,,🚫 SKIP - Position,-20%,70%,,6.5,7,-1,,,,
Disposal,11,Andrew Brayshaw,FRE,PTA,InsM,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,-1%,50%,#REF!,29,21,1,,,,
Disposal,11,Zak Butters,PTA,FRE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔴 Strong Unders,,,,-1%,57%,#REF!,28,24,1,,,,
Disposal,16,Jack Macrae,STK,FRE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔴 Strong Unders,,,🚫 SKIP - No Strategy,4%,42%,,26.5,26,1,,,,
Disposal,11,Willem Drew,PTA,FRE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔴 Strong Unders,,,,2%,70%,#REF!,18,23,-1,,,,
Disposal,11,Miles Bergman,PTA,FRE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔴 Strong Unders,,,,-10%,60%,#REF!,19.5,23,-1,,,,
Disposal,11,Tim Kelly,WCE,ADE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,,,,-1%,63%,#REF!,17,17,0,,,,
Disposal,11,Harvey Langford,MEL,SYD,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,4%,44%,#REF!,19.5,21,-1,,,,
Mark,12,Jarrod Berry,BRL,ESS,GenF,🟡 Slight (Short Break),✅ Neutral,✅ Neutral,,,🟡 CONSIDER,-2%,60%,,5.5,9,-1,,,,
Mark,13,Jack Darling,NTH,WCE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🔵 Strong Easy,,,🟡 CONSIDER - Long Travel,-14%,64%,,4,4,0,,,,
Disposal,12,Sam Durham,ESS,BRL,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - Position,6%,40%,,22,8,1,,,,
Disposal,16,Jack Sinclair,STK,FRE,Des,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,,,🚫 SKIP - No Strategy,1%,64%,,26.5,22,1,,,,
Disposal,12,Lachie Neale,BRL,ESS,InsM,🟡 Slight (Short Break),✅ Neutral,🔹 Slight Easy,,,🚫 SKIP - Position,-6%,55%,,28.5,26,1,,,,
Disposal,12,Matt Rowell,GCS,FRE,InsM,✅ Neutral,⚠️ Medium Unders Edge (Rain),🔴 Strong Unders,,,🚫 SKIP - Position,6%,40%,,23,27,-1,,,,
Disposal,12,Jake Soligo,ADE,SYD,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - Position,3%,46%,,21.5,15,1,,,,
Mark,12,Max Holmes,GEE,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,,,🚫 SKIP - Position,4%,64%,,5,7,-1,,,,
Mark,15,Jaspa Fletcher,BRL,GEE,Wing,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,,,🟢 AUTO-BET 🏅#4 - Wing + Mark (Need: Line vs Avg <20% + Line >4.5),10%,43%,,5.5,4,1,,,,
Disposal,12,Jye Caldwell,ESS,BRL,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - Position,9%,50%,,23.5,30,-1,,,,
Disposal,12,Brady Hough,WCE,GEE,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - Position,-2%,73%,,15,9,1,,,,
Disposal,12,Chad Warner,SYD,ADE,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - Position,-8%,73%,,25,19,1,,,,
Disposal,12,James Rowbottom,SYD,ADE,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - Position,-4%,46%,,19,20,-1,,,,
Mark,11,Nasiah Wanganeen-Milera,STK,GCS,Des,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,-13%,70%,#REF!,6,3,1,,,,
Mark,11,Nick Vlastuin,RIC,ESS,GenD,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,,,,3%,60%,#REF!,6.5,4,1,,,,
Disposal,12,Harley Reid,WCE,GEE,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - Position,-3%,73%,,17,19,-1,,,,
Disposal,12,Tim Kelly,WCE,GEE,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - Position,6%,56%,,16,19,-1,,,,
Disposal,12,Jack Ross,RIC,GWS,InsM,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,🚫 SKIP - Position,4%,45%,,17.5,17,1,,,,
Disposal,12,Kamdyn McIntosh,RIC,GWS,InsM,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,🚫 SKIP - Position,5%,46%,,14.5,4,1,,,,
Disposal,12,Touk Miller,GCS,FRE,InsM,✅ Neutral,⚠️ Medium Unders Edge (Rain),🔴 Strong Unders,,,🚫 SKIP - Position,5%,50%,,25,24,1,,,,
Disposal,12,Max Holmes,GEE,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔵 Strong Easy,,,🚫 SKIP - Position,-1%,64%,,24.5,27,-1,,,,
Disposal,12,Zach Merrett,ESS,BRL,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - Position,5%,50%,,28,28,0,,,,
Tackle,11,Patrick Cripps,CAR,GWS,InsM,✅ Neutral,🔵 Avoid (Rain),🔴 Strong Unders,,,🔵 Avoid (Rain),-3%,50%,#REF!,6,7,-1,,,,
Tackle,11,Kysaiah Pickett,MEL,SYD,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,6%,70%,#REF!,3.5,4,-1,,,,
Tackle,12,Max Holmes,GEE,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,🟢 STRONG BET,4%,64%,,3.5,3,1,,,,
Disposal,12,Harvey Langford,MEL,STK,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - Position,-5%,40%,,20,10,1,,,,
Disposal,12,Kysaiah Pickett,MEL,STK,InsM,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,🚫 SKIP - Hybrid Position,2%,38%,,20,12,1,,,,
Disposal,12,Christian Petracca,MEL,STK,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - Position,3%,36%,,25.5,22,1,,,,
Mark,11,Jye Amiss,FRE,PTA,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,-15%,80%,#REF!,4,3,1,,,,
Disposal,12,Noah Anderson,GCS,FRE,InsM,✅ Neutral,⚠️ Medium Unders Edge (Rain),🔴 Strong Unders,,,🚫 SKIP - Position,8%,50%,,28,39,-1,,,,
Tackle,12,Bailey Smith,GEE,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,🟢 STRONG BET,-2%,50%,,6,4,1,,,,
Tackle,12,Jacob Hopper,RIC,GWS,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,🟡 CONSIDER - Strong DvP Tackles,-14%,73%,,4,2,1,,,,
Disposal,12,Will Ashcroft,BRL,ESS,InsM,🟡 Slight (Short Break),✅ Neutral,🔹 Slight Easy,,,🚫 SKIP - Position,2%,55%,,26.5,30,-1,,,,
Mark,12,Ben Miller,RIC,GWS,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,🟢 STRONG BET,16%,36%,,5,6,-1,,,,
Tackle,12,James Worpel,HAW,COL,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,🟡 CONSIDER - Strong DvP Tackles,10%,70%,,5,4,1,,,,
Tackle,12,Jai Newcombe,HAW,COL,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,🟡 CONSIDER - Strong DvP Tackles,16%,60%,,5,3,1,,,,
Disposal,12,Andrew Brayshaw,FRE,GCS,InsM,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🔵 Strong Easy,,,🚫 SKIP - Position,-4%,55%,,29,30,-1,,,,
Disposal,12,Bailey Smith,GEE,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔵 Strong Easy,,,🚫 SKIP - Position,3%,50%,,30,30,-1,,,,
Mark,11,Nick Blakey,SYD,MEL,KeyD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - No Strategy,-5%,78%,#REF!,5.5,6,-1,,,,
Mark,15,Jarrod Berry,BRL,GEE,Wing,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,,,🟢 AUTO-BET 🏅#4 - Wing + Mark (Need: Line vs Avg <20% + Line >4.5),0%,58%,,5.5,10,-1,,,,
Mark,11,Connor Idun,GWS,CAR,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,1%,50%,#REF!,7,5,1,,,,
Disposal,17,Ed Richards,WBD,NTH,InsM,✅ Neutral,✅ Neutral,🔹 Slight Easy,10,New,#10 - Disposal + Neutral Weather (71.4% WR) (Need: Line >26),-2%,40%,,26.5,,,,,,
Mark,11,Lachie Whitfield,GWS,CAR,Des,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,6%,50%,#REF!,7,5,1,,,,
Disposal,10,Nasiah Wanganeen-Milera,STK,WCE,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🔴 Strong Unders,,,,1%,44%,#REF!,27.5,27,1,,,,
Tackle,12,Kamdyn McIntosh,RIC,GWS,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,🟡 CONSIDER - Strong DvP Tackles,7%,58%,,4,1,1,,,,
Disposal,10,Noah Balta,RIC,NTH,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,-3%,33%,#REF!,14.5,11,1,,,,
Mark,12,Jack Payne,BRL,ESS,KeyD,🟡 Slight (Short Break),✅ Neutral,🔵 Strong Easy,,,🟡 CONSIDER,-20%,60%,,6.5,9,-1,,,,
Mark,11,Lachlan Bramble,WBD,GEE,GenD,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,,,,20%,50%,#REF!,3.5,0,1,,,,
Disposal,10,Connor O'Sullivan,GEE,PTA,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,13%,56%,#REF!,12,5,1,,,,
Disposal,10,Nick Blakey,SYD,CAR,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,6%,44%,#REF!,19.5,13,1,,,,
Mark,11,Jack Darling,NTH,COL,KeyF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,10%,50%,#REF!,3,5,-1,,,,
Tackle,12,Tim Taranto,RIC,GWS,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,🟡 CONSIDER - Strong DvP Tackles,8%,57%,,4.5,2,1,,,,
Disposal,16,Nasiah Wanganeen-Milera,STK,FRE,Des,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,,,🚫 SKIP - No Strategy,2%,43%,,28.5,28,1,,,,
Disposal,10,Tom McCartin,SYD,CAR,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,0%,56%,#REF!,11,14,-1,,,,
Disposal,10,Callum Wilkie,STK,WCE,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🔴 Strong Unders,,,,4%,44%,#REF!,18,24,-1,,,,
Mark,12,Harris Andrews,BRL,ESS,KeyD,🟡 Slight (Short Break),✅ Neutral,🔵 Strong Easy,,,🟡 CONSIDER,11%,45%,,6.5,12,-1,,,,
Disposal,11,Mitch McGovern,CAR,GWS,KeyD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,-7%,60%,#REF!,16.5,15,1,,,,
Disposal,11,Jack Buckley,GWS,CAR,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,-2%,50%,#REF!,12.5,8,1,,,,
Mark,12,Brody Mihocek,COL,HAW,KeyF,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,🟢 STRONG BET,33%,56%,,3,6,-1,,,,
Disposal,11,Alex Pearce,FRE,PTA,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,4%,50%,#REF!,11,12,-1,,,,
Mark,12,Peter Wright,ESS,BRL,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,,,🟡 CONSIDER,17%,50%,,5,6,-1,,,,
Mark,13,Jack Payne,BRL,ADE,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,🟡 STRONG BET - Long Travel,3%,55%,,6,9,-1,,,,
Tackle,12,Chad Warner,SYD,ADE,InsM,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,🟢 STRONG BET,-5%,65%,,4,4,0,,,,
Disposal,11,Karl Worner,FRE,PTA,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,-3%,56%,#REF!,13.5,18,-1,,,,
Disposal,11,Nathan Broad,RIC,ESS,KeyD,🟡 Slight (Short Break),✅ Neutral,🔹 Slight Easy,,,,-7%,60%,#REF!,15,22,-1,,,,
Disposal,11,Caleb Daniel,NTH,COL,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,9%,30%,#REF!,23.5,30,-1,,,,
Mark,13,Nick Larkey,NTH,WCE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🔵 Strong Easy,,,🟡 CONSIDER - Long Travel,-18%,91%,,5,6,-1,,,,
Mark,13,Harris Andrews,BRL,ADE,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,🟡 STRONG BET - Long Travel,22%,42%,,6,7,-1,,,,
Tackle,12,James Rowbottom,SYD,ADE,InsM,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,🟢 STRONG BET,11%,55%,,6.5,9,-1,,,,
Disposal,15,Jaspa Fletcher,BRL,GEE,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - No Strategy,3%,33%,,19.5,23,-1,,,,
Disposal,12,Jeremy Howe,COL,HAW,KeyD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - Disposals Weak,-7%,44%,,15.5,10,1,,,,
Mark,15,Peter Wright,ESS,FRE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,,,🚫 SKIP - No Strategy,21%,33%,,4.5,5,-1,,,,
Mark,15,Sam Docherty,CAR,NTH,Wing,✅ Neutral,✅ Neutral,✅ Neutral,,,🟢 AUTO-BET 🏅#4 - Wing + Mark (Need: Line vs Avg <20% + Line >4.5),-5%,67%,,5.5,16,-1,,,,
Disposal,12,Nathan Broad,RIC,GWS,KeyD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🟡 CONSIDER,-2%,56%,,15,17,-1,,,,
Mark,13,Aliir Aliir,PTA,GWS,KeyD,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🟠 Moderate Unders,,,🟡 STRONG BET - Long Travel,3%,46%,,6,4,1,,,,
Mark,14,Jake Bowey,MEL,PTA,Des,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,2%,46%,,5.5,3,1,,,,
Mark,11,Josh Battle,HAW,BRL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,,4%,50%,#REF!,5.5,6,-1,,,,
Disposal,12,Sam De Koning,GEE,WCE,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,,,🟢 STRONG BET,-10%,73%,,15.5,12,1,,,,
Mark,14,Josh Treacy,FRE,NTH,KeyF,✅ Neutral,✅ Neutral,🔷 Moderate Easy,,,,3%,67%,,5,8,-1,,,,
Mark,13,Mac Andrew,GCS,GEE,KeyD,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🔷 Moderate Easy,,,🟡 STRONG BET - Long Travel,13%,60%,,4.5,2,1,,,,
Disposal,12,Tom Barrass,HAW,COL,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,🚫 SKIP - Disposals Weak,-5%,50%,,11,9,1,,,,
Disposal,12,Mark Keane,ADE,SYD,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,🟡 CONSIDER,-6%,64%,,13.5,23,-1,,,,
Mark,11,Brennan Cox,FRE,PTA,GenD,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,,18%,50%,#REF!,4.5,3,1,,,,
Tackle,12,Tom Atkins,GEE,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,🟢 STRONG BET,17%,36%,,8.5,10,-1,,,,
Tackle,14,Lachie Neale,BRL,GWS,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,🟡 CONSIDER - Strong DvP Tackles,-10%,69%,,4,2,1,,,,
Tackle,14,Josh Dunkley,BRL,GWS,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,🟡 CONSIDER - Strong DvP Tackles,14%,54%,,6,2,1,,,,
Mark,11,Heath Chapman,FRE,PTA,GenD,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,,-9%,67%,#REF!,5,9,-1,,,,
Disposal,12,Harris Andrews,BRL,ESS,KeyD,🟡 Slight (Short Break),✅ Neutral,🔵 Strong Easy,,,🟡 CONSIDER,0%,55%,,13,16,-1,,,,
Mark,11,Lawson Humphries,GEE,WBD,Des,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,,,,7%,55%,#REF!,5.5,6,-1,,,,
Mark,11,Jack Henry,GEE,WBD,GenD,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,,,,33%,60%,#REF!,6,8,-1,,,,
Tackle,14,Hugh McCluggage,BRL,GWS,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,🟡 CONSIDER - Strong DvP Tackles,25%,46%,,4.5,1,1,,,,
Tackle,15,Will Setterfield,ESS,FRE,InsM,✅ Neutral,✅ Neutral,🔷 Moderate Easy,,,🤔 CONSIDER #8 - Long Travel + InsM + Tackle,1%,40%,,7.5,5,1,,,,
Tackle,15,Marcus Windhager,STK,COL,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,🤔 CONSIDER #7 - Strong DvP + Tackle,-14%,85%,,4,1,1,,,,
Disposal,12,Jack Payne,BRL,ESS,KeyD,🟡 Slight (Short Break),✅ Neutral,🔵 Strong Easy,,,🟡 CONSIDER,10%,50%,,10.5,17,-1,,,,
Disposal,12,Karl Worner,FRE,GCS,KeyD,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🔹 Slight Easy,,,🟡 CONSIDER,1%,50%,,13.5,10,1,,,,
Tackle,15,Bailey Humphrey,GCS,GWS,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,🤔 CONSIDER #7 - Strong DvP + Tackle,17%,67%,,4,3,1,,,,
Mark,11,Nick Haynes,CAR,GWS,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,,21%,50%,#REF!,7,8,-1,,,,
Mark,11,Luke Ryan,FRE,PTA,Des,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,,0%,60%,#REF!,6.5,7,-1,,,,
Mark,11,Jordan Clark,FRE,PTA,Des,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,,-4%,60%,#REF!,5.5,6,-1,,,,
Tackle,15,Matt Rowell,GCS,GWS,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,🤔 CONSIDER #7 - Strong DvP + Tackle,-4%,67%,,8.5,8,1,,,,
Mark,14,Christian Salem,MEL,PTA,Des,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,🟢 AUTO-BET - GenD Mark (Priority #3),20%,31%,,6.5,7,-1,,,,
Mark,14,Mitchell Hinge,ADE,HAW,GenD,✅ Neutral,✅ Neutral,✅ Neutral,,,,4%,42%,,4.5,5,-1,,,,
Disposal,12,Mac Andrew,GCS,FRE,KeyD,✅ Neutral,⚠️ Medium Unders Edge (Rain),✅ Neutral,,,🚫 SKIP - Position,-3%,67%,,13,20,-1,,,,
Disposal,13,Aliir Aliir,PTA,GWS,KeyD,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,,,🟡 STRONG BET - Long Travel,4%,55%,,13,14,-1,,,,
