Type,Round,Player,Team,Opponent,Position,Travel Fatigue,Weather,DvP,Line,Avg vs Line,Line Consistency,Bet Priority,Bet Tier,Bet Flag,Actual,W/L
Disposal,13,Zac Bailey,BRL,ADE,Wing,🟠 Moderate (Long Travel),✅ Neutral,🔴 Strong Unders,17,3%,58%,,,🟢 AUTO-BET - Wing Long Travel,21,-1
Disposal,13,Jy Simpkin,NTH,WCE,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,21,9%,46%,,,🟢 AUTO-BET - Wing Long Travel,23,-1
Disposal,13,Brayden Fiorini,GCS,GEE,Wing,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,18,-2%,40%,,,🟢 AUTO-BET - Wing Long Travel,24,-1
Disposal,13,Travis Boak,PTA,GWS,Wing,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🔵 Strong Easy,18.5,14%,33%,,,🟢 AUTO-BET - Wing Long Travel,22,-1
Mark,13,Jack Payne,BRL,ADE,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,6,3%,55%,,,🟡 STRONG BET - Long Travel,9,-1
Mark,13,Mac Andrew,GCS,GEE,KeyD,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🔷 Moderate Easy,4.5,13%,60%,,,🟡 STRONG BET - Long Travel,2,1
Disposal,13,Mac Andrew,GCS,GEE,KeyD,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🔷 Moderate Easy,13,3%,60%,,,🟡 STRONG BET - Long Travel,11,1
Mark,13,Harris Andrews,BRL,ADE,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,6,22%,42%,,,🟡 STRONG BET - Long Travel,7,-1
Mark,13,Jack Darling,NTH,WCE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🔵 Strong Easy,4,-14%,64%,,,🟡 CONSIDER - Long Travel,4,0
Mark,13,Nick Larkey,NTH,WCE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🔵 Strong Easy,5,-18%,91%,,,🟡 CONSIDER - Long Travel,6,-1
Disposal,13,Eric Hipwood,BRL,ADE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,9.5,11%,50%,,,🟡 CONSIDER - Long Travel,9,1
Disposal,13,Logan Morris,BRL,ADE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,8.5,3%,46%,,,🟡 CONSIDER - Long Travel,12,-1
Disposal,13,Jack Darling,NTH,WCE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,10.5,1%,55%,,,🟡 CONSIDER - Long Travel,10,1
Disposal,13,Nick Larkey,NTH,WCE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,10,-5%,73%,,,🟡 CONSIDER - Long Travel,11,-1
Mark,13,Sam Banks,RIC,SYD,GenD,✅ Neutral,⚠️ Medium Unders Edge (Rain),🔴 Strong Unders,5,12%,40%,,,🟡 CONSIDER - Strong DvP,4,1
Mark,13,Mitch Georgiades,PTA,GWS,KeyF,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),✅ Neutral,4.5,21%,36%,,,🟡 STRONG BET - Long Travel,5,1
Disposal,13,Caleb Daniel,NTH,WCE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,25,4%,64%,,,🟡 STRONG BET - Long Travel,29,-1
Disposal,13,Connor Rozee,PTA,GWS,GenD,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,27.5,5%,46%,,,🟡 STRONG BET - Long Travel,28,-1
Mark,13,Paul Curtis,NTH,WCE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔵 Strong Easy,4,9%,50%,,,🟡 STRONG BET - Long Travel,2,1
Mark,13,Cameron Zurhaar,NTH,WCE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔵 Strong Easy,4,7%,73%,,,🟡 STRONG BET - Long Travel,6,-1
Disposal,13,Luke McDonald,NTH,WCE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,14,1%,55%,,,🟡 STRONG BET - Long Travel,23,-1
Disposal,13,Charlie Cameron,BRL,ADE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,9.5,5%,50%,,,🟡 STRONG BET - Long Travel,7,1
Disposal,13,Callum Ah Chee,BRL,ADE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,11,8%,58%,,,🟡 STRONG BET - Long Travel,10,1
Disposal,13,Cam Rayner,BRL,ADE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,14.5,-2%,58%,,,🟡 STRONG BET - Long Travel,17,-1
Disposal,13,Kai Lohmann,BRL,ADE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,10.5,-31%,71%,,,🟡 STRONG BET - Long Travel,11,-1
Disposal,13,Cameron Zurhaar,NTH,WCE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,12.5,-7%,73%,,,🟡 STRONG BET - Long Travel,10,1
Disposal,13,Paul Curtis,NTH,WCE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,13,8%,50%,,,🟡 STRONG BET - Long Travel,8,1
Disposal,13,Colby McKercher,NTH,WCE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,17,-5%,64%,,,🟡 STRONG BET - Long Travel,35,-1
Mark,13,Caleb Daniel,NTH,WCE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔵 Strong Easy,3.5,14%,55%,,,🟡 STRONG BET - Long Travel,4,-1
Disposal,13,Mitch Georgiades,PTA,GWS,KeyF,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,11.5,6%,45%,,,🟡 STRONG BET - Long Travel,8,1
Disposal,13,Jed Walter,GCS,GEE,KeyF,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🔹 Slight Easy,8.5,-12%,60%,,,🟡 STRONG BET - Long Travel,7,1
Disposal,13,Ben King,GCS,GEE,KeyF,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🔹 Slight Easy,8,-7%,55%,,,🟡 STRONG BET - Long Travel,4,1
Disposal,13,Willie Rioli,PTA,GWS,GenF,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,11,10%,40%,,,🟢 AUTO-BET - GenF Medium Rain,6,1
Disposal,13,Sam Flanders,GCS,GEE,GenF,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),✅ Neutral,18,3%,40%,,,🟢 AUTO-BET - GenF Medium Rain,7,1
Disposal,13,Ben Ainsworth,GCS,GEE,GenF,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),✅ Neutral,14.5,3%,40%,,,🟢 AUTO-BET - GenF Medium Rain,4,1
Disposal,13,Darcy Byrne-Jones,PTA,GWS,GenF,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,12,0%,50%,,,🟢 AUTO-BET - GenF Medium Rain,9,1
Disposal,13,Sam Powell-Pepper,PTA,GWS,GenF,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,14,1%,46%,,,🟢 AUTO-BET - GenF Medium Rain,9,1
Disposal,13,Joe Richards,PTA,GWS,GenF,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,13.5,12%,50%,,,🟢 AUTO-BET - GenF Medium Rain,15,-1
Disposal,13,Ben Long,GCS,GEE,GenF,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),✅ Neutral,11,8%,50%,,,🟢 AUTO-BET - GenF Medium Rain,8,1
Disposal,13,Aliir Aliir,PTA,GWS,KeyD,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,13,4%,55%,,,🟡 STRONG BET - Long Travel,14,-1
Disposal,13,Harris Andrews,BRL,ADE,KeyD,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,13,2%,50%,,,🟡 STRONG BET - Long Travel,14,-1
Mark,13,Dylan Stephens,NTH,WCE,Wing,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,6,-10%,60%,,,🟢 AUTO-BET - Wing Long Travel,3,1
Mark,13,Jaspa Fletcher,BRL,ADE,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,6,3%,58%,,,🟢 AUTO-BET - Wing Long Travel,5,1
Disposal,13,Dylan Stephens,NTH,WCE,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,20,-11%,50%,,,🟢 AUTO-BET - Wing Long Travel,19,1
Disposal,13,Jack Payne,BRL,ADE,KeyD,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,11,9%,55%,,,🟡 STRONG BET - Long Travel,18,-1
Tackle,13,Jy Simpkin,NTH,WCE,Wing,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,4,-5%,73%,,,🟢 AUTO-BET - Wing Long Travel,2,1
Mark,13,Ben Miller,RIC,SYD,KeyD,✅ Neutral,⚠️ Medium Unders Edge (Rain),🔴 Strong Unders,4.5,30%,25%,,,🟡 CONSIDER - Strong DvP,8,-1
Disposal,13,Jackson Mead,PTA,GWS,Wing,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🔵 Strong Easy,13.5,9%,27%,,,🟢 AUTO-BET - Wing Long Travel,8,1
Mark,14,Jeremy Cameron,GEE,ESS,KeyF,🟡 Slight (Short Break),✅ Neutral,✅ Neutral,7,-20%,70%,,,🟢 AUTO-BET - KeyF Mark (Priority #1),6,1
Mark,14,Charlie Curnow,CAR,WCE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,7,-10%,64%,,,🟢 AUTO-BET - KeyF Mark (Priority #1),2,1
Mark,14,Heath Chapman,FRE,NTH,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,4.5,3%,55%,,,,5,-1
Mark,14,Andrew McGrath,ESS,GEE,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,3.5,29%,58%,,,,3,1
Mark,14,Lachie Whitfield,GWS,BRL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,6,21%,46%,,,,5,1
Mark,14,Massimo D'Ambrosio,HAW,ADE,GenD,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,4,10%,75%,,,,1,1
Mark,14,Ryan Lester,BRL,GWS,GenD,✅ Neutral,✅ Neutral,🔴 Strong Unders,5.5,5%,46%,,,,5,1
Mark,14,Liam Duggan,WCE,CAR,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,4.5,8%,46%,,,,7,-1
Mark,14,Rory Laird,ADE,HAW,GenD,✅ Neutral,✅ Neutral,✅ Neutral,5,18%,58%,,,,5,0
Mark,14,Lachie Ash,GWS,BRL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,6,14%,53%,,,,7,-1
Mark,14,Dayne Zorko,BRL,GWS,GenD,✅ Neutral,✅ Neutral,🔴 Strong Unders,6,17%,46%,,,,8,-1
Mark,14,Zach Guthrie,GEE,ESS,GenD,🟡 Slight (Short Break),✅ Neutral,✅ Neutral,6,3%,77%,,,,8,-1
Mark,14,Jack Henry,GEE,ESS,KeyD,🟡 Slight (Short Break),✅ Neutral,✅ Neutral,6.5,12%,63%,,,,4,1
Mark,14,Peter Wright,ESS,GEE,KeyF,✅ Neutral,✅ Neutral,🔷 Moderate Easy,5,13%,50%,,,,4,1
Mark,14,Mark O'Connor,GEE,ESS,GenD,🟡 Slight (Short Break),✅ Neutral,✅ Neutral,4.5,25%,46%,,,,12,-1
Mark,14,Nate Caddy,ESS,GEE,KeyF,✅ Neutral,✅ Neutral,🔷 Moderate Easy,4,0%,58%,,,,1,1
Mark,14,Luke Ryan,FRE,NTH,KeyD,✅ Neutral,✅ Neutral,🟡 Slight Unders,6,6%,58%,,,,3,1
Mark,14,Jaspa Fletcher,BRL,GWS,Wing,✅ Neutral,✅ Neutral,🟡 Slight Unders,5,22%,46%,,,🟢 AUTO-BET - Wing Mark (Priority #4),6,-1
Mark,14,Harry Morrison,HAW,ADE,Wing,🟡 Slight (Short Break),✅ Neutral,🟠 Moderate Unders,4.5,0%,50%,,,🟢 AUTO-BET - Wing Mark (Priority #4),5,-1
Mark,14,Ryan Byrnes,STK,WBD,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,6,-3%,58%,,,🟢 AUTO-BET - GenD Mark (Priority #3),6,0
Mark,14,Archie Roberts,ESS,GEE,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,6,-6%,75%,,,,5,1
Mark,14,Jordan Clark,FRE,NTH,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,5.5,-2%,50%,,,,5,1
Mark,14,Jarrod Berry,BRL,GWS,GenD,✅ Neutral,✅ Neutral,🔴 Strong Unders,6,-1%,58%,,,,5,1
Mark,14,Xavier Duursma,ESS,GEE,Wing,✅ Neutral,✅ Neutral,✅ Neutral,5,5%,75%,,,🟢 AUTO-BET - Wing Mark (Priority #4),6,-1
Mark,14,Jase Burgoyne,PTA,MEL,Wing,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,4.5,11%,58%,,,🟢 AUTO-BET - Wing Mark (Priority #4),9,-1
Mark,14,Riley Thilthorpe,ADE,HAW,KeyF,✅ Neutral,✅ Neutral,🔴 Strong Unders,5.5,1%,54%,,,🟢 AUTO-BET - KeyF Mark (Priority #1),1,1
Mark,14,Josh Worrell,ADE,HAW,GenD,✅ Neutral,✅ Neutral,✅ Neutral,5.5,-11%,54%,,,,5,1
Mark,14,Josh Battle,HAW,ADE,KeyD,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,5.5,6%,50%,,,,3,1
Mark,14,Anthony Caminiti,STK,WBD,KeyD,✅ Neutral,✅ Neutral,🔹 Slight Easy,6,7%,50%,,,,6,0
Mark,14,Josh Treacy,FRE,NTH,KeyF,✅ Neutral,✅ Neutral,🔷 Moderate Easy,5,3%,67%,,,,8,-1
Mark,14,Mitchell Hinge,ADE,HAW,GenD,✅ Neutral,✅ Neutral,✅ Neutral,4.5,4%,42%,,,,5,-1
Tackle,14,Lachie Neale,BRL,GWS,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,4,-10%,69%,,,🟡 CONSIDER - Strong DvP Tackles,2,1
Tackle,14,Josh Dunkley,BRL,GWS,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,6,14%,54%,,,🟡 CONSIDER - Strong DvP Tackles,2,1
Tackle,14,Hugh McCluggage,BRL,GWS,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,4.5,25%,46%,,,🟡 CONSIDER - Strong DvP Tackles,1,1
Mark,14,Connor Idun,GWS,BRL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,6.5,4%,46%,,,🟢 AUTO-BET - GenD Mark (Priority #3),6,1
Mark,14,Christian Salem,MEL,PTA,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,6.5,20%,31%,,,🟢 AUTO-BET - GenD Mark (Priority #3),7,-1
Mark,14,Taylor Walker,ADE,HAW,KeyF,✅ Neutral,✅ Neutral,🔴 Strong Unders,4,15%,50%,,,,5,-1
Mark,14,Connor O'Sullivan,GEE,ESS,KeyD,🟡 Slight (Short Break),✅ Neutral,✅ Neutral,5,20%,50%,,,,10,-1
Disposal,14,Paul Curtis,NTH,FRE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,12,13%,44%,,,🟢 AUTO-BET - GenF Disposal Moderate Travel (Priority #5),12,0
Disposal,14,Cameron Zurhaar,NTH,FRE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,11.5,0%,67%,,,🟢 AUTO-BET - GenF Disposal Moderate Travel (Priority #5),8,1
Disposal,14,Jesse Motlop,CAR,WCE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,9.5,9%,50%,,,🟢 AUTO-BET - GenF Disposal Moderate Travel (Priority #5),10,1
Disposal,14,Lachie Fogarty,CAR,WCE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,11,0%,60%,,,🟢 AUTO-BET - GenF Disposal Moderate Travel (Priority #5),17,-1
Mark,14,Trent Rivers,MEL,PTA,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,4.5,23%,46%,,,,1,1
Mark,14,Jake Bowey,MEL,PTA,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,5.5,2%,46%,,,,3,1
Mark,14,Aaron Naughton,WBD,STK,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,5,0%,67%,,,🟢 AUTO-BET - KeyF Mark (Priority #1),3,1
Disposal,14,Sam Docherty,CAR,WCE,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,23.5,-15%,63%,,,🟡 CONSIDER - Moderate DvP Long Travel,20,1
Mark,14,Oscar Allen,WCE,CAR,KeyF,✅ Neutral,✅ Neutral,🟡 Slight Unders,3.5,-1%,36%,,,,4,-1
Mark,14,Jesse Hogan,GWS,BRL,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,4,20%,60%,,,,12,-1
Mark,14,Nick Larkey,NTH,FRE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,4,6%,50%,,,,3,1
Mark,14,Karl Amon,HAW,ADE,Wing,🟡 Slight (Short Break),✅ Neutral,🟠 Moderate Unders,4,15%,50%,,,🟢 AUTO-BET - Wing Mark (Priority #4),3,1
Mark,14,Jack Darling,NTH,FRE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,3.5,0%,42%,,,,5,-1
Mark,14,Mason Wood,STK,WBD,Wing,✅ Neutral,✅ Neutral,🔹 Slight Easy,6.5,1%,46%,,,🟢 AUTO-BET - Wing Mark (Priority #4),4,1
Mark,14,Bradley Hill,STK,WBD,Wing,✅ Neutral,✅ Neutral,🔹 Slight Easy,5.5,15%,67%,,,🟢 AUTO-BET - Wing Mark (Priority #4),4,1
Mark,14,Dylan Stephens,NTH,FRE,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,5,4%,55%,,,🟢 AUTO-BET - Wing Mark (Priority #4),2,1
Mark,14,Brennan Cox,FRE,NTH,KeyD,✅ Neutral,✅ Neutral,🟡 Slight Unders,4,19%,58%,,,,6,-1
Tackle,15,Jack Macrae,STK,COL,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,5,7%,63%,,,🤔 CONSIDER #7 - Strong DvP + Tackle,6,-1
Tackle,15,Hunter Clark,STK,COL,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,4,20%,60%,,,🤔 CONSIDER #7 - Strong DvP + Tackle,5,-1
Tackle,15,Marcus Windhager,STK,COL,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,4,-14%,85%,,,🤔 CONSIDER #7 - Strong DvP + Tackle,1,1
Tackle,15,Bailey Humphrey,GCS,GWS,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,4,17%,67%,,,🤔 CONSIDER #7 - Strong DvP + Tackle,3,1
Tackle,15,Matt Rowell,GCS,GWS,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,8.5,-4%,67%,,,🤔 CONSIDER #7 - Strong DvP + Tackle,8,1
Tackle,15,Jack Steele,STK,COL,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,7.5,7%,58%,,,🤔 CONSIDER #7 - Strong DvP + Tackle,5,1
Tackle,15,Will Setterfield,ESS,FRE,InsM,✅ Neutral,✅ Neutral,🔷 Moderate Easy,7.5,1%,40%,,,🤔 CONSIDER #8 - Long Travel + InsM + Tackle,5,1
Tackle,15,Jye Caldwell,ESS,FRE,InsM,✅ Neutral,✅ Neutral,🔷 Moderate Easy,7.5,-8%,44%,,,🤔 CONSIDER #8 - Long Travel + InsM + Tackle,5,1
Tackle,15,Zach Merrett,ESS,FRE,InsM,✅ Neutral,✅ Neutral,🔷 Moderate Easy,4.5,-18%,62%,,,🤔 CONSIDER #8 - Long Travel + InsM + Tackle,3,1
Tackle,15,Josh Dunkley,BRL,GEE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,6,8%,57%,,,🤔 CONSIDER #8 - Long Travel + InsM + Tackle,10,-1
Tackle,15,Hugh McCluggage,BRL,GEE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,4.5,18%,50%,,,🤔 CONSIDER #8 - Long Travel + InsM + Tackle,6,-1
Tackle,15,Lachie Neale,BRL,GEE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,3.5,0%,50%,,,🤔 CONSIDER #8 - Long Travel + InsM + Tackle,4,-1
Tackle,15,Will Ashcroft,BRL,GEE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,3,-5%,64%,,,🤔 CONSIDER #8 - Long Travel + InsM + Tackle,5,-1
Mark,15,John Noble,GCS,GWS,GenD,✅ Neutral,✅ Neutral,🔴 Strong Unders,4,27%,50%,,,🤔 CONSIDER #9 - Strong DvP + Marks + GenD,3,1
Mark,15,Daniel Rioli,GCS,GWS,GenD,✅ Neutral,✅ Neutral,🔴 Strong Unders,4,-4%,58%,,,🤔 CONSIDER #9 - Strong DvP + Marks + GenD,2,1
Mark,15,Bodhi Uwland,GCS,GWS,GenD,✅ Neutral,✅ Neutral,🔴 Strong Unders,4.5,4%,58%,,,🤔 CONSIDER #9 - Strong DvP + Marks + GenD,3,1
Mark,15,Joel Jeffrey,GCS,GWS,GenD,✅ Neutral,✅ Neutral,🔴 Strong Unders,5,17%,68%,,,🤔 CONSIDER #9 - Strong DvP + Marks + GenD,6,-1
Mark,15,Wil Powell,GCS,GWS,GenD,✅ Neutral,✅ Neutral,🔴 Strong Unders,4.5,9%,42%,,,🤔 CONSIDER #9 - Strong DvP + Marks + GenD,6,-1
Mark,15,Sam Darcy,WBD,RIC,KeyF,✅ Neutral,✅ Neutral,✅ Neutral,8.5,-16%,71%,,,🟢 AUTO-BET 🥇#1 - KeyF + Mark (Need: Lines >5.0),8,1
Disposal,15,Jarrod Berry,BRL,GEE,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,19.5,2%,58%,,,,26,-1
Disposal,15,Zac Bailey,BRL,GEE,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,16,10%,50%,,,,19,-1
Mark,15,Blake Acres,CAR,NTH,Wing,✅ Neutral,✅ Neutral,🟡 Slight Unders,4.5,5%,55%,,,,7,-1
Mark,15,Lawson Humphries,GEE,BRL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,5.5,8%,46%,,,,4,1
Mark,15,Josh Treacy,FRE,ESS,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,5.5,-5%,67%,,,🟢 AUTO-BET 🥇#1 - KeyF + Mark (Need: Lines >5.0),3,1
Mark,15,Nasiah Wanganeen-Milera,STK,COL,GenD,✅ Neutral,✅ Neutral,✅ Neutral,6,-9%,62%,,,,7,-1
Mark,15,Dylan Stephens,NTH,CAR,Wing,✅ Neutral,✅ Neutral,✅ Neutral,4.5,9%,50%,,,,6,-1
Mark,15,Nick Larkey,NTH,CAR,KeyF,✅ Neutral,✅ Neutral,🟡 Slight Unders,4,11%,44%,,,,3,1
Mark,15,Jack Darling,NTH,CAR,KeyF,✅ Neutral,✅ Neutral,🟡 Slight Unders,4,-10%,60%,,,,2,1
Disposal,15,Noah Answerth,BRL,GEE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,13.5,3%,50%,,,,13,1
Mark,15,Noah Answerth,BRL,GEE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,5,4%,64%,,,,4,1
Mark,15,Jase Burgoyne,PTA,SYD,Wing,✅ Neutral,✅ Neutral,✅ Neutral,4.5,18%,54%,,,,7,-1
Disposal,15,Jaspa Fletcher,BRL,GEE,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,19.5,3%,33%,,,,23,-1
Mark,15,Darcy Wilmot,BRL,GEE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,5,4%,43%,,,,5,0
Mark,15,Ryan Lester,BRL,GEE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,5,4%,50%,,,,6,-1
Mark,15,Aaron Cadman,GWS,GCS,KeyF,✅ Neutral,✅ Neutral,🟡 Slight Unders,4.5,0%,57%,,,,3,1
Disposal,15,Ryan Lester,BRL,GEE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,13,6%,43%,,,,14,-1
Mark,15,Jesse Hogan,GWS,GCS,KeyF,✅ Neutral,✅ Neutral,🟡 Slight Unders,4.5,21%,55%,,,,7,-1
Mark,15,Nick Vlastuin,RIC,WBD,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,5,20%,69%,,,,7,-1
Mark,15,Tom Brown,RIC,WBD,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,4.5,11%,54%,,,,3,-1
Mark,15,Lachie Whitfield,GWS,GCS,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,6,18%,50%,,,,1,1
Mark,15,Zach Guthrie,GEE,BRL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,6,5%,71%,,,,3,1
Mark,15,Archie Roberts,ESS,FRE,GenD,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,5.5,2%,39%,,,,8,-1
Mark,15,Caleb Daniel,NTH,CAR,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,3.5,14%,46%,,,,3,1
Disposal,15,Dayne Zorko,BRL,GEE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,25.5,4%,50%,,,,33,-1
Disposal,15,Lachie Neale,BRL,GEE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,25,5%,50%,,,,17,1
Disposal,15,Hugh McCluggage,BRL,GEE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,26,3%,50%,,,,22,-1
Disposal,15,Josh Dunkley,BRL,GEE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,23,4%,50%,,,,30,-1
Mark,15,Nick Blakey,SYD,PTA,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,5,5%,67%,,,,5,0
Mark,15,Riley Bice,SYD,PTA,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,4.5,20%,50%,,,,0,1
Mark,15,Dane Rampe,SYD,PTA,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,4,0%,62%,,,,4,0
Mark,15,Luke McDonald,NTH,CAR,GenF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,4,2%,61%,,,,8,-1
Mark,15,Matt Roberts,SYD,PTA,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,6,4%,58%,,,,6,0
Disposal,15,Eric Hipwood,BRL,GEE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,10,6%,50%,,,,7,1
Mark,15,Mitch Georgiades,PTA,SYD,KeyF,✅ Neutral,✅ Neutral,✅ Neutral,5,15%,54%,,,,4,1
Mark,15,Aaron Naughton,WBD,RIC,KeyF,✅ Neutral,✅ Neutral,✅ Neutral,5,-3%,70%,,,,2,1
